,exp_name,env_name,seed,metric,env_step,value
206,xqc,dog-walk,8,avg_return,800000.0,931.295158022834
207,xqc,dog-walk,8,avg_return,900000.0,945.9435628874772
208,xqc,dog-walk,8,avg_return,1000000.0,931.2525506771156
209,xqc,dog-walk,9,avg_return,0.0,6.72689891933086
210,xqc,dog-walk,9,avg_return,100000.0,175.98458929991958
211,xqc,dog-walk,9,avg_return,200000.0,617.015776107039
212,xqc,dog-walk,9,avg_return,300000.0,867.2636331493002
213,xqc,dog-walk,9,avg_return,400000.0,917.5014651624944
214,xqc,dog-walk,9,avg_return,500000.0,910.4641621876848
215,xqc,dog-walk,9,avg_return,600000.0,948.785216180078
216,xqc,dog-walk,9,avg_return,700000.0,941.6208640587748
217,xqc,dog-walk,9,avg_return,800000.0,967.62791711358
218,xqc,dog-walk,9,avg_return,900000.0,958.7333243499264
219,xqc,dog-walk,9,avg_return,1000000.0,977.3649017356208
220,xqc,dog-trot,0,avg_return,0.0,6.798982174921704
221,xqc,dog-trot,0,avg_return,100000.0,158.25576055053853
222,xqc,dog-trot,0,avg_return,200000.0,350.1195179146729
223,xqc,dog-trot,0,avg_return,300000.0,544.0546997043527
224,xqc,dog-trot,0,avg_return,400000.0,738.2282848637531
225,xqc,dog-trot,0,avg_return,500000.0,818.3782185689531
226,xqc,dog-trot,0,avg_return,600000.0,875.3329524536168
227,xqc,dog-trot,0,avg_return,700000.0,887.3972647995873
228,xqc,dog-trot,0,avg_return,800000.0,886.9607011060261
229,xqc,dog-trot,0,avg_return,900000.0,895.0042772765048
230,xqc,dog-trot,0,avg_return,1000000.0,904.824350108601
231,xqc,dog-trot,1,avg_return,0.0,6.717838357602242
232,xqc,dog-trot,1,avg_return,100000.0,129.9127405043307
233,xqc,dog-trot,1,avg_return,200000.0,290.1377510635326
234,xqc,dog-trot,1,avg_return,300000.0,465.9188461070572
235,xqc,dog-trot,1,avg_return,400000.0,824.683701560467
236,xqc,dog-trot,1,avg_return,500000.0,862.4167646011167
237,xqc,dog-trot,1,avg_return,600000.0,897.6220026820614
238,xqc,dog-trot,1,avg_return,700000.0,902.1878828809004
239,xqc,dog-trot,1,avg_return,800000.0,910.755375962033
240,xqc,dog-trot,1,avg_return,900000.0,899.6355992900801
241,xqc,dog-trot,1,avg_return,1000000.0,909.9156941180654
242,xqc,dog-trot,2,avg_return,0.0,6.8846131059141245
243,xqc,dog-trot,2,avg_return,100000.0,117.94021860940404
244,xqc,dog-trot,2,avg_return,200000.0,328.4723131583441
245,xqc,dog-trot,2,avg_return,300000.0,599.5788393310471
246,xqc,dog-trot,2,avg_return,400000.0,783.656589686385
